Country,ISO- Alpha3 Code,Status,Year joined,Year left
Albania,ALB,M,2009,
Belgium,BEL,M,1949,
Bulgaria,BGR,M,2004,
Canada,CAN,M,1949,
Croatia,HRV,M,2009,
Czech Republic,CZE,M,1999,
Denmark,DNK,M,1949,
Estonia,EST,M,2004,
Finland,FIN,M,2023,
France,FRA,M,1949,
Germany,DEU,M,1955,
Greece,GRC,M,1952,
Hungary,HUN,M,1999,
Italy,ITA,M,1949,
Latvia,LVA,M,2004,
Lithuania,LTU,M,2004,
Luxembourg,LUX,M,1949,
Montenegro,MNE,M,2017,
Netherlands,NLD,M,1949,
North Macedonia,MKD,M,2020,
Norway,NOR,M,1949,
Poland,POL,M,1999,
Portugal,PRT,M,1949,
Romania,ROU,M,2004,
Slovakia,SVK,M,2004,
Slovenia,SVN,M,2004,
Spain,ESP,M,1982,
Sweden,SWE,M,2024,
Turkey,TUR,M,1952,
United Kingdom,GBR,M,1949,
United States of America,USA,M,1949,
